,Date,HomeTeam,AwayTeam,FTR,HWDL,HGS,HGA,HRC,AWDL,AGS,AGA,ARC,H2hWDL,H2hGS,H2hGA,H2hRC
0,29/05/2016,Bournemouth,Arsenal,0,1,9,9,0,1,11,8,1,-2,0,4,0
0,29/05/2016,Chelsea,Bolton,0,3,13,7,1,0,10,12,0,6,18,1,0
0,29/05/2016,Tottenham,Fulham,0,3,11,5,0,0,9,12,0,4,13,4,0
0,29/05/2016,Man United,Liverpool,0,1,7,6,1,1,15,8,1,2,9,6,1
0,29/05/2016,Blackburn,Man City,0,-4,5,11,0,-3,6,9,0,-5,2,15,0
0,29/05/2016,Reading,Stoke,0,-2,7,10,0,3,10,6,0,-1,2,3,0
0,29/05/2016,Aston Villa,Sunderland,0,-6,2,18,0,0,8,8,0,1,8,5,1
0,29/05/2016,Everton,Norwich,0,0,11,7,1,-2,4,6,0,0,9,8,0
0,29/05/2016,Charlton,West Ham,0,-3,5,11,1,2,9,7,0,0,5,3,1
