Date,HomeTeam,AwayTeam,FTR
23/04/2016,Aston Villa,Southampton,
23/04/2016,Bournemouth,Chelsea,
23/04/2016,Crystal Palace,Everton,
23/04/2016,Leicester,Swansea,
23/04/2016,Liverpool,Newcastle,
23/04/2016,Man City,Stoke,
23/04/2016,Norwich,Watford,
23/04/2016,Sunderland,Arsenal,
23/04/2016,Tottenham,West Brom,
23/04/2016,West Ham,Man Utd,
