Date,HomeTeam,AwayTeam,FTR
15/05/2016,Arsenal,Aston Villa,
15/05/2016,Chelsea,Leicester,
15/05/2016,Everton,Norwich,
15/05/2016,Man Utd,Bournemouth,
15/05/2016,Newcastle,Tottenham,
15/05/2016,Southampton,Crystal Palace,
15/05/2016,Stoke,West Ham,
15/05/2016,Swansea,Man City,
15/05/2016,Watford,Sunderland,
15/05/2016,West Brom,Liverpool,
