Date,HomeTeam,AwayTeam,FTR
30/04/2016,Arsenal,Norwich,
30/04/2016,Chelsea,Tottenham,
30/04/2016,Everton,Bournemouth,
30/04/2016,Man Utd,Leicester,
30/04/2016,Newcastle,Crystal Palace,
30/04/2016,Southampton,Man City,
30/04/2016,Stoke,Sunderland,
30/04/2016,Swansea,Liverpool,
30/04/2016,Watford,Aston Villa,
30/04/2016,West Brom,West Ham,
