Date,HomeTeam,AwayTeam,FTR
07/05/2016,Aston Villa,Newcastle,
07/05/2016,Bournemouth,West Brom,
07/05/2016,Crystal Palace,Stoke,
07/05/2016,Leicester,Everton,
07/05/2016,Liverpool,Watford,
07/05/2016,Man City,Arsenal,
07/05/2016,Norwich,Man Utd,
07/05/2016,Sunderland,Chelsea,
07/05/2016,Tottenham,Southampton,
07/05/2016,West Ham,Swansea,
