Date,HomeTeam,AwayTeam,FTR
09/04/2016,Aston Villa,Bournemouth,
09/04/2016,Crystal Palace,Norwich,
09/04/2016,Liverpool,Stoke,
09/04/2016,Man City,West Brom,
09/04/2016,Southampton,Newcastle,
09/04/2016,Sunderland,Leicester,
09/04/2016,Swansea,Chelsea,
09/04/2016,Tottenham,Man Utd,
09/04/2016,Watford,Everton,
09/04/2016,West Ham,Arsenal,
